jour,mois,an,Num_Acc,hrmn,lum,agg,int,atm,col,com,lat,long,dep,count
23,8,18,26839403645287,181350,221,216,274,163.0,556.0,21611,583782688.0,64647508.0,70547,133
23,9,18,31077204326991,190444,335,237,299,261.0,661.0,34190,682148489.0,66037727.0,86913,154
23,10,18,38342005629475,262792,372,316,378,220.0,727.0,31104,847493134.0,87320162.0,107278,190
23,11,18,40763606024426,299830,526,323,435,506.0,836.0,36769,885277504.0,103515331.0,121809,202
23,12,18,23005203538270,159124,365,182,224,255.0,524.0,23290,483518395.0,65091953.0,72635,114
24,1,18,33700604845144,222957,394,287,290,319.0,699.0,30170,736831753.0,75511001.0,94702,167
24,2,18,19574602776033,135382,226,158,158,131.0,436.0,17811,438526436.0,25664530.0,54431,97
24,3,18,29261004157636,204263,306,242,261,203.0,608.0,28451,655212550.0,54193662.0,85253,145
24,4,18,37736605335135,271263,277,304,392,272.0,782.0,32819,852908834.0,53159515.0,105525,187
24,5,18,35718605443907,249624,242,296,348,206.0,730.0,32469,779919722.0,97608875.0,106958,177
24,6,18,34709604223932,217030,295,266,329,219.0,738.0,35996,772693571.0,57252365.0,98727,172
24,7,18,31077204239409,219802,215,245,316,206.0,599.0,31500,661357528.0,56047795.0,87424,154
24,8,18,29866404480952,194023,222,240,313,204.0,622.0,26451,660094727.0,79502634.0,86025,148
24,9,18,37131205385452,262233,270,310,386,247.0,779.0,36934,810673502.0,77839121.0,109396,184
24,10,18,28252003832960,192123,255,224,309,193.0,586.0,26731,617499055.0,72122775.0,76072,140
24,11,18,27646603944582,174381,371,232,238,326.0,617.0,29358,592805848.0,70784253.0,77652,137
24,12,18,23005203548764,146316,291,182,225,228.0,515.0,18417,478592722.0,88923967.0,67595,114
25,1,18,33498805355049,219137,425,272,292,305.0,692.0,30408,728298396.0,66025275.0,96222,166
25,2,18,21592602861786,125707,227,160,216,167.0,456.0,23963,468078809.0,68957370.0,60279,107
25,3,18,24014203210554,154487,255,191,229,157.0,513.0,22798,554102998.0,43813556.0,67968,119
