catv,grav,secu,Num_Acc,senc,occutc,obs,obsm,choc,manv,place,catu,sexe,trajet,locp,actp,etatp,an_nais,count
2,4,92.0,201800042672,1.0,0,0.0,2.0,7.0,19.0,2.0,2,1,5.0,0.0,0.0,0.0,2000.0,1
2,4,93.0,2219800447114,12.0,0,1.0,23.0,28.0,55.0,24.0,15,13,24.0,4.0,3.0,1.0,21920.0,11
3,1,2.0,1009000031992,5.0,0,4.0,6.0,7.0,6.0,9.0,7,6,23.0,0.0,0.0,0.0,9994.0,5
3,1,3.0,2623400182484,8.0,0,25.0,29.0,22.0,126.0,16.0,16,15,52.0,0.0,0.0,0.0,25677.0,13
3,1,11.0,65181408984670,331.0,0,148.0,556.0,918.0,2306.0,407.0,364,428,1054.0,0.0,0.0,0.0,638230.0,323
3,1,12.0,605400139749,2.0,0,0.0,6.0,14.0,19.0,4.0,4,3,13.0,0.0,0.0,0.0,5946.0,3
3,1,13.0,4843200609010,21.0,0,17.0,39.0,81.0,105.0,26.0,26,31,76.0,0.0,0.0,0.0,47382.0,24
3,1,21.0,403600066500,3.0,0,0.0,4.0,5.0,25.0,3.0,3,3,14.0,0.0,0.0,0.0,3949.0,2
3,1,22.0,201800037420,1.0,0,0.0,2.0,3.0,15.0,1.0,1,2,9.0,0.0,0.0,0.0,1964.0,1
3,1,23.0,201800019644,1.0,0,0.0,2.0,2.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,2001.0,1
3,1,31.0,605400090457,2.0,0,0.0,6.0,4.0,12.0,8.0,6,4,13.0,0.0,0.0,0.0,6045.0,3
3,1,92.0,403600081352,4.0,0,0.0,0.0,18.0,20.0,9.0,4,3,10.0,0.0,0.0,0.0,4001.0,2
3,1,93.0,1009000200836,6.0,0,0.0,11.0,26.0,57.0,5.0,5,5,14.0,0.0,0.0,0.0,9915.0,5
3,2,3.0,403600027520,2.0,0,0.0,4.0,4.0,28.0,2.0,2,2,8.0,0.0,0.0,0.0,3885.0,2
3,2,11.0,4237800448167,26.0,0,45.0,30.0,73.0,157.0,27.0,27,29,82.0,0.0,0.0,0.0,41068.0,21
3,2,12.0,605400039615,3.0,0,14.0,4.0,8.0,30.0,3.0,3,3,15.0,0.0,0.0,0.0,5856.0,3
3,2,13.0,807200148854,4.0,0,0.0,8.0,13.0,43.0,4.0,4,4,0.0,0.0,0.0,0.0,7932.0,4
3,2,21.0,807200028482,6.0,0,0.0,8.0,8.0,60.0,5.0,5,6,6.0,0.0,0.0,0.0,7893.0,4
3,2,93.0,201800032266,2.0,0,0.0,2.0,3.0,16.0,1.0,1,2,0.0,0.0,0.0,0.0,1960.0,1
3,3,2.0,3430600226603,17.0,0,21.0,30.0,40.0,74.0,26.0,33,25,66.0,18.0,16.0,9.0,33418.0,17
3,3,3.0,1412600137767,4.0,0,30.0,5.0,13.0,35.0,4.0,13,12,30.0,13.0,8.0,3.0,13760.0,7
3,3,11.0,16547601514667,94.0,0,118.0,114.0,229.0,444.0,112.0,100,107,317.0,0.0,0.0,0.0,161330.0,82
